Z_19,gene,abs_loading,factor
0.400767,ENSG00000164822.5,0.400767,Z_19
-0.35848063,ENSG00000198786.2,0.35848063,Z_19
-0.32043082,ENSG00000165280.18,0.32043082,Z_19
0.3035303,ENSG00000170606.15,0.3035303,Z_19
0.29722556,ENSG00000234753.5,0.29722556,Z_19
-0.29317597,ENSG00000173467.9,0.29317597,Z_19
-0.29073676,ENSG00000172172.8,0.29073676,Z_19
0.272533,ENSG00000260239.2,0.272533,Z_19
0.26653615,ENSG00000211892.4,0.26653615,Z_19
0.25444674,ENSG00000125352.6,0.25444674,Z_19
0.2522076,ENSG00000169679.15,0.2522076,Z_19
0.25116032,ENSG00000133119.13,0.25116032,Z_19
0.24730524,ENSG00000096872.17,0.24730524,Z_19
-0.24112071,ENSG00000185201.17,0.24112071,Z_19
0.23959468,ENSG00000204219.11,0.23959468,Z_19
0.23812912,ENSG00000138778.13,0.23812912,Z_19
0.2367867,ENSG00000109084.14,0.2367867,Z_19
0.2352331,ENSG00000137807.16,0.2352331,Z_19
-0.23350808,ENSG00000164934.14,0.23350808,Z_19
-0.23339361,ENSG00000165949.12,0.23339361,Z_19
0.23032771,ENSG00000145220.14,0.23032771,Z_19
0.22470394,ENSG00000115738.10,0.22470394,Z_19
0.22356531,ENSG00000177189.14,0.22356531,Z_19
-0.22325155,ENSG00000019582.16,0.22325155,Z_19
0.22282946,ENSG00000198826.11,0.22282946,Z_19
0.21870126,ENSG00000117724.13,0.21870126,Z_19
-0.21831462,ENSG00000155090.15,0.21831462,Z_19
0.21745045,ENSG00000156802.13,0.21745045,Z_19
-0.21575713,ENSG00000141741.12,0.21575713,Z_19
0.21498336,ENSG00000165304.8,0.21498336,Z_19
0.2140374,ENSG00000106299.8,0.2140374,Z_19
0.21271768,ENSG00000138182.15,0.21271768,Z_19
-0.21222095,ENSG00000120708.17,0.21222095,Z_19
0.21152763,ENSG00000164647.9,0.21152763,Z_19
-0.21117336,ENSG00000169908.12,0.21117336,Z_19
-0.20842297,ENSG00000121858.11,0.20842297,Z_19
0.2063818,ENSG00000052723.12,0.2063818,Z_19
0.20405537,ENSG00000239839.7,0.20405537,Z_19
0.20346841,ENSG00000017483.15,0.20346841,Z_19
-0.20130917,ENSG00000197019.5,0.20130917,Z_19
-0.19960648,ENSG00000117318.9,0.19960648,Z_19
-0.19850448,ENSG00000053747.17,0.19850448,Z_19
0.19831747,ENSG00000163808.17,0.19831747,Z_19
0.19662143,ENSG00000102837.7,0.19662143,Z_19
-0.1963036,ENSG00000187840.5,0.1963036,Z_19
0.19629449,ENSG00000197971.16,0.19629449,Z_19
0.19541039,ENSG00000171320.15,0.19541039,Z_19
0.19335209,ENSG00000160551.12,0.19335209,Z_19
-0.19322847,ENSG00000198788.9,0.19322847,Z_19
-0.19117999,ENSG00000158825.6,0.19117999,Z_19
0.19032356,ENSG00000278828.1,0.19032356,Z_19
0.18965946,ENSG00000170653.19,0.18965946,Z_19
-0.18942283,ENSG00000169223.15,0.18942283,Z_19
0.18875036,ENSG00000159399.10,0.18875036,Z_19
0.18806554,ENSG00000103365.15,0.18806554,Z_19
0.18730202,ENSG00000131747.15,0.18730202,Z_19
0.18664187,ENSG00000167981.7,0.18664187,Z_19
0.1864231,ENSG00000129195.16,0.1864231,Z_19
-0.18500355,ENSG00000137673.9,0.18500355,Z_19
0.18261841,ENSG00000172594.13,0.18261841,Z_19
0.18217646,ENSG00000173085.15,0.18217646,Z_19
-0.18216,ENSG00000148180.21,0.18216,Z_19
0.18201375,ENSG00000166851.15,0.18201375,Z_19
0.18194339,ENSG00000161980.6,0.18194339,Z_19
0.18103601,ENSG00000101935.11,0.18103601,Z_19
0.17920077,ENSG00000059691.12,0.17920077,Z_19
0.17879696,ENSG00000169062.15,0.17879696,Z_19
-0.17843354,ENSG00000250722.6,0.17843354,Z_19
0.17772657,ENSG00000151834.16,0.17772657,Z_19
0.1775847,ENSG00000134716.11,0.1775847,Z_19
0.17704625,ENSG00000115414.21,0.17704625,Z_19
0.17695872,ENSG00000103150.7,0.17695872,Z_19
0.17483035,ENSG00000143942.5,0.17483035,Z_19
0.17450899,ENSG00000144852.20,0.17450899,Z_19
0.17406283,ENSG00000146476.11,0.17406283,Z_19
0.17336309,ENSG00000164920.9,0.17336309,Z_19
0.17319936,ENSG00000110944.9,0.17319936,Z_19
0.17245656,ENSG00000272218.1,0.17245656,Z_19
0.172183,ENSG00000073067.14,0.172183,Z_19
0.17115928,ENSG00000138166.6,0.17115928,Z_19
0.17098422,ENSG00000158296.14,0.17098422,Z_19
0.17098309,ENSG00000211592.8,0.17098309,Z_19
-0.17030358,ENSG00000141753.7,0.17030358,Z_19
-0.1702777,ENSG00000173156.7,0.1702777,Z_19
0.17014334,ENSG00000154380.17,0.17014334,Z_19
0.1693457,ENSG00000184216.14,0.1693457,Z_19
0.16921556,ENSG00000123136.15,0.16921556,Z_19
0.16917934,ENSG00000152944.9,0.16917934,Z_19
0.1691732,ENSG00000055130.17,0.1691732,Z_19
0.16897121,ENSG00000164938.14,0.16897121,Z_19
0.16794528,ENSG00000139641.13,0.16794528,Z_19
-0.16778347,ENSG00000017797.13,0.16778347,Z_19
0.16758151,ENSG00000287831.1,0.16758151,Z_19
0.16688243,ENSG00000071073.13,0.16688243,Z_19
-0.16670991,ENSG00000134193.15,0.16670991,Z_19
0.16652647,ENSG00000133773.12,0.16652647,Z_19
0.16613205,ENSG00000215114.10,0.16613205,Z_19
0.1660705,ENSG00000224259.7,0.1660705,Z_19
0.16565607,ENSG00000167920.10,0.16565607,Z_19
-0.16552348,ENSG00000179674.4,0.16552348,Z_19
