Z_0,gene,abs_loading,factor,Z_1,Z_2,Z_3,Z_4,Z_5,Z_6,Z_7,Z_8,Z_9,Z_10,Z_11,Z_12,Z_13,Z_14,Z_15,Z_16,Z_17,Z_18,Z_19
-0.29282716,ENSG00000173110.8,0.29282716,Z_0,,,,,,,,,,,,,,,,,,,
-0.28655434,ENSG00000077152.11,0.28655434,Z_0,,,,,,,,,,,,,,,,,,,
-0.26102737,ENSG00000138182.15,0.26102737,Z_0,,,,,,,,,,,,,,,,,,,
-0.2588364,ENSG00000187608.10,0.2588364,Z_0,,,,,,,,,,,,,,,,,,,
-0.25170353,ENSG00000175063.17,0.25170353,Z_0,,,,,,,,,,,,,,,,,,,
-0.25041083,ENSG00000143815.15,0.25041083,Z_0,,,,,,,,,,,,,,,,,,,
-0.24764125,ENSG00000163714.18,0.24764125,Z_0,,,,,,,,,,,,,,,,,,,
-0.24192068,ENSG00000163220.11,0.24192068,Z_0,,,,,,,,,,,,,,,,,,,
0.2389622,ENSG00000159182.5,0.2389622,Z_0,,,,,,,,,,,,,,,,,,,
0.23411492,ENSG00000237643.2,0.23411492,Z_0,,,,,,,,,,,,,,,,,,,
-0.23407896,ENSG00000211592.8,0.23407896,Z_0,,,,,,,,,,,,,,,,,,,
0.23145045,ENSG00000097033.14,0.23145045,Z_0,,,,,,,,,,,,,,,,,,,
-0.22813857,ENSG00000124207.17,0.22813857,Z_0,,,,,,,,,,,,,,,,,,,
-0.22774114,ENSG00000154978.13,0.22774114,Z_0,,,,,,,,,,,,,,,,,,,
-0.22018607,ENSG00000117983.17,0.22018607,Z_0,,,,,,,,,,,,,,,,,,,
0.21300551,ENSG00000019582.16,0.21300551,Z_0,,,,,,,,,,,,,,,,,,,
-0.20810267,ENSG00000115053.17,0.20810267,Z_0,,,,,,,,,,,,,,,,,,,
-0.2071739,ENSG00000172016.16,0.2071739,Z_0,,,,,,,,,,,,,,,,,,,
0.20698033,ENSG00000124102.5,0.20698033,Z_0,,,,,,,,,,,,,,,,,,,
-0.2065576,ENSG00000061794.13,0.2065576,Z_0,,,,,,,,,,,,,,,,,,,
-0.20652685,ENSG00000164615.6,0.20652685,Z_0,,,,,,,,,,,,,,,,,,,
0.20127149,ENSG00000006327.14,0.20127149,Z_0,,,,,,,,,,,,,,,,,,,
-0.20103945,ENSG00000240583.14,0.20103945,Z_0,,,,,,,,,,,,,,,,,,,
0.19882163,ENSG00000224057.1,0.19882163,Z_0,,,,,,,,,,,,,,,,,,,
0.19864397,ENSG00000137364.5,0.19864397,Z_0,,,,,,,,,,,,,,,,,,,
-0.1978512,ENSG00000177685.17,0.1978512,Z_0,,,,,,,,,,,,,,,,,,,
0.19770586,ENSG00000198692.10,0.19770586,Z_0,,,,,,,,,,,,,,,,,,,
0.19678646,ENSG00000150782.12,0.19678646,Z_0,,,,,,,,,,,,,,,,,,,
0.19638796,ENSG00000069329.18,0.19638796,Z_0,,,,,,,,,,,,,,,,,,,
-0.19559555,ENSG00000104870.13,0.19559555,Z_0,,,,,,,,,,,,,,,,,,,
-0.19514334,ENSG00000111206.13,0.19514334,Z_0,,,,,,,,,,,,,,,,,,,
-0.19448945,ENSG00000188895.12,0.19448945,Z_0,,,,,,,,,,,,,,,,,,,
-0.19331864,ENSG00000132465.12,0.19331864,Z_0,,,,,,,,,,,,,,,,,,,
-0.19292118,ENSG00000211677.2,0.19292118,Z_0,,,,,,,,,,,,,,,,,,,
0.1923223,ENSG00000163586.10,0.1923223,Z_0,,,,,,,,,,,,,,,,,,,
-0.19120806,ENSG00000162645.13,0.19120806,Z_0,,,,,,,,,,,,,,,,,,,
-0.1903712,ENSG00000182600.9,0.1903712,Z_0,,,,,,,,,,,,,,,,,,,
-0.19005527,ENSG00000136159.4,0.19005527,Z_0,,,,,,,,,,,,,,,,,,,
-0.18978877,ENSG00000158825.6,0.18978877,Z_0,,,,,,,,,,,,,,,,,,,
-0.18642925,ENSG00000196227.11,0.18642925,Z_0,,,,,,,,,,,,,,,,,,,
-0.18421514,ENSG00000132424.17,0.18421514,Z_0,,,,,,,,,,,,,,,,,,,
-0.18302533,ENSG00000211897.9,0.18302533,Z_0,,,,,,,,,,,,,,,,,,,
-0.1818098,ENSG00000010292.13,0.1818098,Z_0,,,,,,,,,,,,,,,,,,,
-0.18153127,ENSG00000102189.17,0.18153127,Z_0,,,,,,,,,,,,,,,,,,,
-0.18130429,ENSG00000168243.11,0.18130429,Z_0,,,,,,,,,,,,,,,,,,,
-0.17810215,ENSG00000163347.6,0.17810215,Z_0,,,,,,,,,,,,,,,,,,,
-0.17809854,ENSG00000167747.15,0.17809854,Z_0,,,,,,,,,,,,,,,,,,,
-0.17791452,ENSG00000133773.12,0.17791452,Z_0,,,,,,,,,,,,,,,,,,,
0.17743412,ENSG00000124253.11,0.17743412,Z_0,,,,,,,,,,,,,,,,,,,
-0.17648783,ENSG00000117399.14,0.17648783,Z_0,,,,,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.5260755,Z_1,-0.5260755,,,,,,,,,,,,,,,,,,
,ENSG00000170606.15,0.36033234,Z_1,-0.36033234,,,,,,,,,,,,,,,,,,
,ENSG00000171848.16,0.3593727,Z_1,0.3593727,,,,,,,,,,,,,,,,,,
,ENSG00000115386.6,0.35737157,Z_1,-0.35737157,,,,,,,,,,,,,,,,,,
,ENSG00000164822.5,0.3499462,Z_1,0.3499462,,,,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.33107564,Z_1,-0.33107564,,,,,,,,,,,,,,,,,,
,ENSG00000106211.10,0.31056082,Z_1,-0.31056082,,,,,,,,,,,,,,,,,,
,ENSG00000162896.6,0.29434672,Z_1,-0.29434672,,,,,,,,,,,,,,,,,,
,ENSG00000198786.2,0.2939332,Z_1,-0.2939332,,,,,,,,,,,,,,,,,,
,ENSG00000198938.2,0.29164237,Z_1,-0.29164237,,,,,,,,,,,,,,,,,,
,ENSG00000165480.16,0.28415665,Z_1,-0.28415665,,,,,,,,,,,,,,,,,,
,ENSG00000224057.1,0.2775644,Z_1,0.2775644,,,,,,,,,,,,,,,,,,
,ENSG00000260239.2,0.27676085,Z_1,-0.27676085,,,,,,,,,,,,,,,,,,
,ENSG00000165949.12,0.27600926,Z_1,-0.27600926,,,,,,,,,,,,,,,,,,
,ENSG00000061794.13,0.2741056,Z_1,0.2741056,,,,,,,,,,,,,,,,,,
,ENSG00000115053.17,0.2681387,Z_1,0.2681387,,,,,,,,,,,,,,,,,,
,ENSG00000129824.16,0.26762602,Z_1,0.26762602,,,,,,,,,,,,,,,,,,
,ENSG00000106066.15,0.26719326,Z_1,-0.26719326,,,,,,,,,,,,,,,,,,
,ENSG00000204642.14,0.25954452,Z_1,-0.25954452,,,,,,,,,,,,,,,,,,
,ENSG00000138755.6,0.25294945,Z_1,-0.25294945,,,,,,,,,,,,,,,,,,
,ENSG00000117394.24,0.24909319,Z_1,0.24909319,,,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.24807207,Z_1,-0.24807207,,,,,,,,,,,,,,,,,,
,ENSG00000100097.12,0.24434458,Z_1,-0.24434458,,,,,,,,,,,,,,,,,,
,ENSG00000130720.13,0.24292389,Z_1,-0.24292389,,,,,,,,,,,,,,,,,,
,ENSG00000052802.13,0.24247208,Z_1,0.24247208,,,,,,,,,,,,,,,,,,
,ENSG00000185201.17,0.24154346,Z_1,-0.24154346,,,,,,,,,,,,,,,,,,
,ENSG00000158050.5,0.2359317,Z_1,0.2359317,,,,,,,,,,,,,,,,,,
,ENSG00000169908.12,0.23364578,Z_1,0.23364578,,,,,,,,,,,,,,,,,,
,ENSG00000204287.14,0.23158829,Z_1,-0.23158829,,,,,,,,,,,,,,,,,,
,ENSG00000103534.17,0.22677422,Z_1,-0.22677422,,,,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.22634096,Z_1,0.22634096,,,,,,,,,,,,,,,,,,
,ENSG00000134240.12,0.22245656,Z_1,0.22245656,,,,,,,,,,,,,,,,,,
,ENSG00000166681.14,0.22190522,Z_1,0.22190522,,,,,,,,,,,,,,,,,,
,ENSG00000091138.13,0.21881987,Z_1,-0.21881987,,,,,,,,,,,,,,,,,,
,ENSG00000204525.17,0.21757033,Z_1,-0.21757033,,,,,,,,,,,,,,,,,,
,ENSG00000118523.6,0.21747042,Z_1,0.21747042,,,,,,,,,,,,,,,,,,
,ENSG00000175063.17,0.2171303,Z_1,-0.2171303,,,,,,,,,,,,,,,,,,
,ENSG00000145632.15,0.21652861,Z_1,0.21652861,,,,,,,,,,,,,,,,,,
,ENSG00000042286.15,0.2155124,Z_1,-0.2155124,,,,,,,,,,,,,,,,,,
,ENSG00000234745.13,0.21162213,Z_1,-0.21162213,,,,,,,,,,,,,,,,,,
,ENSG00000173467.9,0.20958047,Z_1,0.20958047,,,,,,,,,,,,,,,,,,
,ENSG00000274213.1,0.20899655,Z_1,-0.20899655,,,,,,,,,,,,,,,,,,
,ENSG00000163739.5,0.20751435,Z_1,-0.20751435,,,,,,,,,,,,,,,,,,
,ENSG00000102445.20,0.20704943,Z_1,0.20704943,,,,,,,,,,,,,,,,,,
,ENSG00000165280.18,0.206636,Z_1,-0.206636,,,,,,,,,,,,,,,,,,
,ENSG00000234753.5,0.20542184,Z_1,0.20542184,,,,,,,,,,,,,,,,,,
,ENSG00000205277.10,0.20380075,Z_1,-0.20380075,,,,,,,,,,,,,,,,,,
,ENSG00000140297.13,0.20332402,Z_1,-0.20332402,,,,,,,,,,,,,,,,,,
,ENSG00000143167.12,0.2010472,Z_1,0.2010472,,,,,,,,,,,,,,,,,,
,ENSG00000104671.8,0.20087673,Z_1,0.20087673,,,,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.42902932,Z_2,,-0.42902932,,,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.3487647,Z_2,,0.3487647,,,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.34209114,Z_2,,0.34209114,,,,,,,,,,,,,,,,,
,ENSG00000112773.16,0.3331222,Z_2,,0.3331222,,,,,,,,,,,,,,,,,
,ENSG00000145632.15,0.33166596,Z_2,,0.33166596,,,,,,,,,,,,,,,,,
,ENSG00000211677.2,0.33029935,Z_2,,0.33029935,,,,,,,,,,,,,,,,,
,ENSG00000115738.10,0.32935676,Z_2,,0.32935676,,,,,,,,,,,,,,,,,
,ENSG00000177984.7,0.32850912,Z_2,,0.32850912,,,,,,,,,,,,,,,,,
,ENSG00000124762.14,0.31776536,Z_2,,0.31776536,,,,,,,,,,,,,,,,,
,ENSG00000166165.13,0.2900889,Z_2,,0.2900889,,,,,,,,,,,,,,,,,
,ENSG00000239839.7,0.28589493,Z_2,,0.28589493,,,,,,,,,,,,,,,,,
,ENSG00000130707.18,0.2854861,Z_2,,-0.2854861,,,,,,,,,,,,,,,,,
,ENSG00000095932.7,0.28397125,Z_2,,-0.28397125,,,,,,,,,,,,,,,,,
,ENSG00000265972.6,0.28349558,Z_2,,-0.28349558,,,,,,,,,,,,,,,,,
,ENSG00000127324.9,0.2799385,Z_2,,-0.2799385,,,,,,,,,,,,,,,,,
,ENSG00000188373.5,0.26367185,Z_2,,-0.26367185,,,,,,,,,,,,,,,,,
,ENSG00000115758.13,0.2612771,Z_2,,0.2612771,,,,,,,,,,,,,,,,,
,ENSG00000171848.16,0.26108685,Z_2,,-0.26108685,,,,,,,,,,,,,,,,,
,ENSG00000070501.12,0.2571987,Z_2,,0.2571987,,,,,,,,,,,,,,,,,
,ENSG00000120875.9,0.25035685,Z_2,,0.25035685,,,,,,,,,,,,,,,,,
,ENSG00000173334.4,0.24759166,Z_2,,0.24759166,,,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.24687618,Z_2,,-0.24687618,,,,,,,,,,,,,,,,,
,ENSG00000061794.13,0.24491127,Z_2,,-0.24491127,,,,,,,,,,,,,,,,,
,ENSG00000017483.15,0.24489471,Z_2,,0.24489471,,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.23787685,Z_2,,0.23787685,,,,,,,,,,,,,,,,,
,ENSG00000118523.6,0.233328,Z_2,,0.233328,,,,,,,,,,,,,,,,,
,ENSG00000171617.15,0.23277047,Z_2,,0.23277047,,,,,,,,,,,,,,,,,
,ENSG00000151490.15,0.23005782,Z_2,,0.23005782,,,,,,,,,,,,,,,,,
,ENSG00000125352.6,0.2270865,Z_2,,0.2270865,,,,,,,,,,,,,,,,,
,ENSG00000211896.7,0.22246893,Z_2,,0.22246893,,,,,,,,,,,,,,,,,
,ENSG00000115053.17,0.2187292,Z_2,,-0.2187292,,,,,,,,,,,,,,,,,
,ENSG00000165949.12,0.21814959,Z_2,,-0.21814959,,,,,,,,,,,,,,,,,
,ENSG00000109971.14,0.21802647,Z_2,,0.21802647,,,,,,,,,,,,,,,,,
,ENSG00000172016.16,0.2161653,Z_2,,0.2161653,,,,,,,,,,,,,,,,,
,ENSG00000198431.16,0.21525984,Z_2,,0.21525984,,,,,,,,,,,,,,,,,
,ENSG00000143416.21,0.2149024,Z_2,,-0.2149024,,,,,,,,,,,,,,,,,
,ENSG00000198938.2,0.21445142,Z_2,,-0.21445142,,,,,,,,,,,,,,,,,
,ENSG00000130720.13,0.21341512,Z_2,,-0.21341512,,,,,,,,,,,,,,,,,
,ENSG00000188895.12,0.21290888,Z_2,,-0.21290888,,,,,,,,,,,,,,,,,
,ENSG00000101443.18,0.20858516,Z_2,,0.20858516,,,,,,,,,,,,,,,,,
,ENSG00000100941.9,0.20737618,Z_2,,0.20737618,,,,,,,,,,,,,,,,,
,ENSG00000158050.5,0.20554951,Z_2,,0.20554951,,,,,,,,,,,,,,,,,
,ENSG00000105011.9,0.20370741,Z_2,,0.20370741,,,,,,,,,,,,,,,,,
,ENSG00000161980.6,0.20356922,Z_2,,0.20356922,,,,,,,,,,,,,,,,,
,ENSG00000111832.13,0.20330703,Z_2,,-0.20330703,,,,,,,,,,,,,,,,,
,ENSG00000173432.12,0.20327304,Z_2,,0.20327304,,,,,,,,,,,,,,,,,
,ENSG00000196227.11,0.19765593,Z_2,,0.19765593,,,,,,,,,,,,,,,,,
,ENSG00000114857.18,0.19764082,Z_2,,0.19764082,,,,,,,,,,,,,,,,,
,ENSG00000205277.10,0.19762468,Z_2,,-0.19762468,,,,,,,,,,,,,,,,,
,ENSG00000059728.11,0.1973362,Z_2,,0.1973362,,,,,,,,,,,,,,,,,
,ENSG00000211677.2,0.40300015,Z_3,,,0.40300015,,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.38985926,Z_3,,,-0.38985926,,,,,,,,,,,,,,,,
,ENSG00000165475.15,0.3206966,Z_3,,,-0.3206966,,,,,,,,,,,,,,,,
,ENSG00000178035.13,0.31397146,Z_3,,,0.31397146,,,,,,,,,,,,,,,,
,ENSG00000161980.6,0.31204224,Z_3,,,0.31204224,,,,,,,,,,,,,,,,
,ENSG00000115053.17,0.30506366,Z_3,,,0.30506366,,,,,,,,,,,,,,,,
,ENSG00000135916.16,0.29374093,Z_3,,,-0.29374093,,,,,,,,,,,,,,,,
,ENSG00000124207.17,0.29319528,Z_3,,,0.29319528,,,,,,,,,,,,,,,,
,ENSG00000198788.9,0.28822106,Z_3,,,-0.28822106,,,,,,,,,,,,,,,,
,ENSG00000173467.9,0.28806418,Z_3,,,-0.28806418,,,,,,,,,,,,,,,,
,ENSG00000242247.11,0.28578103,Z_3,,,-0.28578103,,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.28175974,Z_3,,,-0.28175974,,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.281569,Z_3,,,0.281569,,,,,,,,,,,,,,,,
,ENSG00000198695.2,0.27875447,Z_3,,,0.27875447,,,,,,,,,,,,,,,,
,ENSG00000214160.10,0.27577898,Z_3,,,0.27577898,,,,,,,,,,,,,,,,
,ENSG00000133119.13,0.27463785,Z_3,,,0.27463785,,,,,,,,,,,,,,,,
,ENSG00000137673.9,0.27206323,Z_3,,,-0.27206323,,,,,,,,,,,,,,,,
,ENSG00000117523.17,0.27025387,Z_3,,,0.27025387,,,,,,,,,,,,,,,,
,ENSG00000268621.6,0.2682809,Z_3,,,0.2682809,,,,,,,,,,,,,,,,
,ENSG00000019582.16,0.25365093,Z_3,,,0.25365093,,,,,,,,,,,,,,,,
,ENSG00000272398.6,0.25319764,Z_3,,,-0.25319764,,,,,,,,,,,,,,,,
,ENSG00000168575.10,0.25185254,Z_3,,,-0.25185254,,,,,,,,,,,,,,,,
,ENSG00000164822.5,0.25057286,Z_3,,,0.25057286,,,,,,,,,,,,,,,,
,ENSG00000053747.17,0.2497564,Z_3,,,-0.2497564,,,,,,,,,,,,,,,,
,ENSG00000139517.9,0.24465998,Z_3,,,-0.24465998,,,,,,,,,,,,,,,,
,ENSG00000141429.14,0.24312834,Z_3,,,-0.24312834,,,,,,,,,,,,,,,,
,ENSG00000104419.17,0.24156731,Z_3,,,-0.24156731,,,,,,,,,,,,,,,,
,ENSG00000117448.14,0.2396521,Z_3,,,0.2396521,,,,,,,,,,,,,,,,
,ENSG00000206069.7,0.23518598,Z_3,,,-0.23518598,,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.23366205,Z_3,,,-0.23366205,,,,,,,,,,,,,,,,
,ENSG00000169583.13,0.2319393,Z_3,,,-0.2319393,,,,,,,,,,,,,,,,
,ENSG00000204389.10,0.23127921,Z_3,,,-0.23127921,,,,,,,,,,,,,,,,
,ENSG00000134531.10,0.23120761,Z_3,,,-0.23120761,,,,,,,,,,,,,,,,
,ENSG00000001497.18,0.2304303,Z_3,,,0.2304303,,,,,,,,,,,,,,,,
,ENSG00000115738.10,0.22862831,Z_3,,,0.22862831,,,,,,,,,,,,,,,,
,ENSG00000148926.10,0.22754394,Z_3,,,-0.22754394,,,,,,,,,,,,,,,,
,ENSG00000042286.15,0.22603424,Z_3,,,-0.22603424,,,,,,,,,,,,,,,,
,ENSG00000120756.13,0.22512001,Z_3,,,-0.22512001,,,,,,,,,,,,,,,,
,ENSG00000028839.10,0.22510408,Z_3,,,-0.22510408,,,,,,,,,,,,,,,,
,ENSG00000176658.17,0.22503276,Z_3,,,-0.22503276,,,,,,,,,,,,,,,,
,ENSG00000198938.2,0.22453147,Z_3,,,0.22453147,,,,,,,,,,,,,,,,
,ENSG00000109861.17,0.22450608,Z_3,,,0.22450608,,,,,,,,,,,,,,,,
,ENSG00000030582.18,0.22273599,Z_3,,,-0.22273599,,,,,,,,,,,,,,,,
,ENSG00000078804.13,0.21982567,Z_3,,,-0.21982567,,,,,,,,,,,,,,,,
,ENSG00000157111.13,0.2196211,Z_3,,,-0.2196211,,,,,,,,,,,,,,,,
,ENSG00000106025.9,0.21950532,Z_3,,,-0.21950532,,,,,,,,,,,,,,,,
,ENSG00000106537.8,0.21880616,Z_3,,,-0.21880616,,,,,,,,,,,,,,,,
,ENSG00000142089.17,0.21805488,Z_3,,,0.21805488,,,,,,,,,,,,,,,,
,ENSG00000159182.5,0.21718454,Z_3,,,0.21718454,,,,,,,,,,,,,,,,
,ENSG00000169032.10,0.21575795,Z_3,,,-0.21575795,,,,,,,,,,,,,,,,
,ENSG00000115386.6,0.39988372,Z_4,,,,0.39988372,,,,,,,,,,,,,,,
,ENSG00000091138.13,0.3820237,Z_4,,,,-0.3820237,,,,,,,,,,,,,,,
,ENSG00000204287.14,0.33608633,Z_4,,,,0.33608633,,,,,,,,,,,,,,,
,ENSG00000211592.8,0.32866335,Z_4,,,,0.32866335,,,,,,,,,,,,,,,
,ENSG00000164266.11,0.32167572,Z_4,,,,-0.32167572,,,,,,,,,,,,,,,
,ENSG00000161249.21,0.31966335,Z_4,,,,0.31966335,,,,,,,,,,,,,,,
,ENSG00000174992.8,0.3100688,Z_4,,,,0.3100688,,,,,,,,,,,,,,,
,ENSG00000137168.8,0.30622116,Z_4,,,,0.30622116,,,,,,,,,,,,,,,
,ENSG00000160180.17,0.30443242,Z_4,,,,-0.30443242,,,,,,,,,,,,,,,
,ENSG00000188373.5,0.29621834,Z_4,,,,-0.29621834,,,,,,,,,,,,,,,
,ENSG00000143416.21,0.26557082,Z_4,,,,-0.26557082,,,,,,,,,,,,,,,
,ENSG00000163734.4,0.26117814,Z_4,,,,-0.26117814,,,,,,,,,,,,,,,
,ENSG00000164951.16,0.25466955,Z_4,,,,0.25466955,,,,,,,,,,,,,,,
,ENSG00000110944.9,0.25277185,Z_4,,,,-0.25277185,,,,,,,,,,,,,,,
,ENSG00000160551.12,0.25259188,Z_4,,,,0.25259188,,,,,,,,,,,,,,,
,ENSG00000007952.18,0.24443561,Z_4,,,,-0.24443561,,,,,,,,,,,,,,,
,ENSG00000167747.15,0.24332634,Z_4,,,,0.24332634,,,,,,,,,,,,,,,
,ENSG00000145384.4,0.24279542,Z_4,,,,-0.24279542,,,,,,,,,,,,,,,
,ENSG00000095932.7,0.24275985,Z_4,,,,-0.24275985,,,,,,,,,,,,,,,
,ENSG00000119042.17,0.23719524,Z_4,,,,-0.23719524,,,,,,,,,,,,,,,
,ENSG00000100097.12,0.23672095,Z_4,,,,0.23672095,,,,,,,,,,,,,,,
,ENSG00000138134.12,0.235395,Z_4,,,,-0.235395,,,,,,,,,,,,,,,
,ENSG00000124253.11,0.23445815,Z_4,,,,-0.23445815,,,,,,,,,,,,,,,
,ENSG00000171747.9,0.23157114,Z_4,,,,-0.23157114,,,,,,,,,,,,,,,
,ENSG00000198788.9,0.23140883,Z_4,,,,0.23140883,,,,,,,,,,,,,,,
,ENSG00000065548.18,0.23027575,Z_4,,,,-0.23027575,,,,,,,,,,,,,,,
,ENSG00000078401.7,0.22948472,Z_4,,,,-0.22948472,,,,,,,,,,,,,,,
,ENSG00000170348.9,0.22686723,Z_4,,,,0.22686723,,,,,,,,,,,,,,,
,ENSG00000118322.14,0.22674455,Z_4,,,,-0.22674455,,,,,,,,,,,,,,,
,ENSG00000157399.17,0.22547887,Z_4,,,,-0.22547887,,,,,,,,,,,,,,,
,ENSG00000164822.5,0.21610242,Z_4,,,,-0.21610242,,,,,,,,,,,,,,,
,ENSG00000112312.10,0.21548338,Z_4,,,,-0.21548338,,,,,,,,,,,,,,,
,ENSG00000131747.15,0.21501891,Z_4,,,,0.21501891,,,,,,,,,,,,,,,
,ENSG00000173432.12,0.21442223,Z_4,,,,-0.21442223,,,,,,,,,,,,,,,
,ENSG00000178105.11,0.21437497,Z_4,,,,0.21437497,,,,,,,,,,,,,,,
,ENSG00000177189.14,0.21426722,Z_4,,,,-0.21426722,,,,,,,,,,,,,,,
,ENSG00000109971.14,0.21364234,Z_4,,,,0.21364234,,,,,,,,,,,,,,,
,ENSG00000172016.16,0.21301968,Z_4,,,,0.21301968,,,,,,,,,,,,,,,
,ENSG00000124102.5,0.21182176,Z_4,,,,-0.21182176,,,,,,,,,,,,,,,
,ENSG00000127125.9,0.21109268,Z_4,,,,0.21109268,,,,,,,,,,,,,,,
,ENSG00000239839.7,0.21101938,Z_4,,,,0.21101938,,,,,,,,,,,,,,,
,ENSG00000136986.10,0.20997018,Z_4,,,,0.20997018,,,,,,,,,,,,,,,
,ENSG00000198692.10,0.2093303,Z_4,,,,0.2093303,,,,,,,,,,,,,,,
,ENSG00000172183.16,0.20863037,Z_4,,,,0.20863037,,,,,,,,,,,,,,,
,ENSG00000135549.15,0.20691314,Z_4,,,,-0.20691314,,,,,,,,,,,,,,,
,ENSG00000100941.9,0.20633195,Z_4,,,,0.20633195,,,,,,,,,,,,,,,
,ENSG00000148346.12,0.20361885,Z_4,,,,-0.20361885,,,,,,,,,,,,,,,
,ENSG00000133935.7,0.20150757,Z_4,,,,0.20150757,,,,,,,,,,,,,,,
,ENSG00000102837.7,0.20100254,Z_4,,,,-0.20100254,,,,,,,,,,,,,,,
,ENSG00000187840.5,0.19885917,Z_4,,,,0.19885917,,,,,,,,,,,,,,,
,ENSG00000109861.17,0.41454905,Z_5,,,,,-0.41454905,,,,,,,,,,,,,,
,ENSG00000109971.14,0.37430352,Z_5,,,,,-0.37430352,,,,,,,,,,,,,,
,ENSG00000172172.8,0.3413696,Z_5,,,,,-0.3413696,,,,,,,,,,,,,,
,ENSG00000115053.17,0.3333846,Z_5,,,,,0.3333846,,,,,,,,,,,,,,
,ENSG00000196126.11,0.33121002,Z_5,,,,,-0.33121002,,,,,,,,,,,,,,
,ENSG00000109084.14,0.3245088,Z_5,,,,,0.3245088,,,,,,,,,,,,,,
,ENSG00000101337.16,0.32239106,Z_5,,,,,0.32239106,,,,,,,,,,,,,,
,ENSG00000141429.14,0.31516534,Z_5,,,,,0.31516534,,,,,,,,,,,,,,
,ENSG00000204397.9,0.3145076,Z_5,,,,,-0.3145076,,,,,,,,,,,,,,
,ENSG00000145220.14,0.31197685,Z_5,,,,,-0.31197685,,,,,,,,,,,,,,
,ENSG00000215712.11,0.31109405,Z_5,,,,,0.31109405,,,,,,,,,,,,,,
,ENSG00000138182.15,0.30603915,Z_5,,,,,0.30603915,,,,,,,,,,,,,,
,ENSG00000006327.14,0.3036023,Z_5,,,,,0.3036023,,,,,,,,,,,,,,
,ENSG00000211677.2,0.30187207,Z_5,,,,,-0.30187207,,,,,,,,,,,,,,
,ENSG00000099194.6,0.29806378,Z_5,,,,,-0.29806378,,,,,,,,,,,,,,
,ENSG00000079459.13,0.29641724,Z_5,,,,,0.29641724,,,,,,,,,,,,,,
,ENSG00000065135.12,0.29173225,Z_5,,,,,0.29173225,,,,,,,,,,,,,,
,ENSG00000070501.12,0.28989923,Z_5,,,,,0.28989923,,,,,,,,,,,,,,
,ENSG00000137364.5,0.28918985,Z_5,,,,,-0.28918985,,,,,,,,,,,,,,
,ENSG00000198431.16,0.28878203,Z_5,,,,,0.28878203,,,,,,,,,,,,,,
,ENSG00000154813.10,0.2862134,Z_5,,,,,-0.2862134,,,,,,,,,,,,,,
,ENSG00000143416.21,0.28177592,Z_5,,,,,0.28177592,,,,,,,,,,,,,,
,ENSG00000097033.14,0.28017622,Z_5,,,,,0.28017622,,,,,,,,,,,,,,
,ENSG00000061794.13,0.2799079,Z_5,,,,,-0.2799079,,,,,,,,,,,,,,
,ENSG00000130816.17,0.27781543,Z_5,,,,,0.27781543,,,,,,,,,,,,,,
,ENSG00000116120.11,0.27386647,Z_5,,,,,-0.27386647,,,,,,,,,,,,,,
,ENSG00000111845.5,0.2736425,Z_5,,,,,-0.2736425,,,,,,,,,,,,,,
,ENSG00000124207.17,0.26798257,Z_5,,,,,0.26798257,,,,,,,,,,,,,,
,ENSG00000133935.7,0.2677146,Z_5,,,,,-0.2677146,,,,,,,,,,,,,,
,ENSG00000173110.8,0.2654627,Z_5,,,,,0.2654627,,,,,,,,,,,,,,
,ENSG00000165813.20,0.26478902,Z_5,,,,,-0.26478902,,,,,,,,,,,,,,
,ENSG00000224057.1,0.26462045,Z_5,,,,,-0.26462045,,,,,,,,,,,,,,
,ENSG00000169248.13,0.25802028,Z_5,,,,,-0.25802028,,,,,,,,,,,,,,
,ENSG00000171617.15,0.25629124,Z_5,,,,,0.25629124,,,,,,,,,,,,,,
,ENSG00000017797.13,0.2549249,Z_5,,,,,0.2549249,,,,,,,,,,,,,,
,ENSG00000130340.17,0.24868119,Z_5,,,,,0.24868119,,,,,,,,,,,,,,
,ENSG00000171848.16,0.2477763,Z_5,,,,,-0.2477763,,,,,,,,,,,,,,
,ENSG00000157456.8,0.24601209,Z_5,,,,,0.24601209,,,,,,,,,,,,,,
,ENSG00000214049.8,0.24335213,Z_5,,,,,0.24335213,,,,,,,,,,,,,,
,ENSG00000173890.17,0.24320439,Z_5,,,,,0.24320439,,,,,,,,,,,,,,
,ENSG00000095932.7,0.24316317,Z_5,,,,,-0.24316317,,,,,,,,,,,,,,
,ENSG00000052802.13,0.24122995,Z_5,,,,,0.24122995,,,,,,,,,,,,,,
