Z_2,gene,abs_loading,factor
0.3487647,ENSG00000160551.12,0.3487647,Z_2
0.34209114,ENSG00000174992.8,0.34209114,Z_2
0.3331222,ENSG00000112773.16,0.3331222,Z_2
0.33166596,ENSG00000145632.15,0.33166596,Z_2
0.33029935,ENSG00000211677.2,0.33029935,Z_2
0.32935676,ENSG00000115738.10,0.32935676,Z_2
0.32850912,ENSG00000177984.7,0.32850912,Z_2
0.31776536,ENSG00000124762.14,0.31776536,Z_2
0.2900889,ENSG00000166165.13,0.2900889,Z_2
0.28589493,ENSG00000239839.7,0.28589493,Z_2
0.2612771,ENSG00000115758.13,0.2612771,Z_2
0.2571987,ENSG00000070501.12,0.2571987,Z_2
0.25035685,ENSG00000120875.9,0.25035685,Z_2
0.24759166,ENSG00000173334.4,0.24759166,Z_2
0.24489471,ENSG00000017483.15,0.24489471,Z_2
0.23787685,ENSG00000211592.8,0.23787685,Z_2
0.233328,ENSG00000118523.6,0.233328,Z_2
0.23277047,ENSG00000171617.15,0.23277047,Z_2
0.23005782,ENSG00000151490.15,0.23005782,Z_2
0.2270865,ENSG00000125352.6,0.2270865,Z_2
0.22246893,ENSG00000211896.7,0.22246893,Z_2
0.21802647,ENSG00000109971.14,0.21802647,Z_2
0.2161653,ENSG00000172016.16,0.2161653,Z_2
0.21525984,ENSG00000198431.16,0.21525984,Z_2
0.20858516,ENSG00000101443.18,0.20858516,Z_2
0.20737618,ENSG00000100941.9,0.20737618,Z_2
0.20554951,ENSG00000158050.5,0.20554951,Z_2
0.20370741,ENSG00000105011.9,0.20370741,Z_2
0.20356922,ENSG00000161980.6,0.20356922,Z_2
0.20327304,ENSG00000173432.12,0.20327304,Z_2
0.19765593,ENSG00000196227.11,0.19765593,Z_2
0.19764082,ENSG00000114857.18,0.19764082,Z_2
0.1973362,ENSG00000059728.11,0.1973362,Z_2
0.19445501,ENSG00000119042.17,0.19445501,Z_2
0.19429968,ENSG00000171456.20,0.19429968,Z_2
0.1933458,ENSG00000197050.11,0.1933458,Z_2
0.19282126,ENSG00000197019.5,0.19282126,Z_2
0.19133593,ENSG00000137574.11,0.19133593,Z_2
0.19116351,ENSG00000150907.10,0.19116351,Z_2
0.19108877,ENSG00000179674.4,0.19108877,Z_2
0.19089219,ENSG00000089685.15,0.19089219,Z_2
0.18871407,ENSG00000171124.13,0.18871407,Z_2
0.1845971,ENSG00000178035.13,0.1845971,Z_2
0.18457326,ENSG00000135052.16,0.18457326,Z_2
0.18420264,ENSG00000136826.15,0.18420264,Z_2
0.18393287,ENSG00000140854.13,0.18393287,Z_2
0.18374392,ENSG00000175567.11,0.18374392,Z_2
0.18223253,ENSG00000188042.8,0.18223253,Z_2
0.18057908,ENSG00000100347.15,0.18057908,Z_2
0.18043967,ENSG00000115386.6,0.18043967,Z_2
