Z_2,gene,abs_loading,factor
0.42378226,ENSG00000145287.11,0.42378226,Z_2
0.40691784,ENSG00000214049.8,0.40691784,Z_2
0.4057554,ENSG00000091138.13,0.4057554,Z_2
0.36499304,ENSG00000184292.7,0.36499304,Z_2
0.33586246,ENSG00000150687.12,0.33586246,Z_2
0.33113793,ENSG00000139289.14,0.33113793,Z_2
0.32806098,ENSG00000100554.12,0.32806098,Z_2
0.30817282,ENSG00000150782.12,0.30817282,Z_2
0.28252688,ENSG00000244509.4,0.28252688,Z_2
0.27677992,ENSG00000137500.9,0.27677992,Z_2
0.2724667,ENSG00000211897.9,0.2724667,Z_2
0.26997167,ENSG00000173432.12,0.26997167,Z_2
0.26609653,ENSG00000204287.14,0.26609653,Z_2
0.26213548,ENSG00000183844.17,0.26213548,Z_2
0.25908843,ENSG00000203760.9,0.25908843,Z_2
0.25802645,ENSG00000128654.14,0.25802645,Z_2
0.25319448,ENSG00000159182.5,0.25319448,Z_2
0.24902467,ENSG00000145632.15,0.24902467,Z_2
0.24886371,ENSG00000204257.15,0.24886371,Z_2
0.24861418,ENSG00000204272.13,0.24861418,Z_2
0.24042942,ENSG00000158825.6,0.24042942,Z_2
0.24033496,ENSG00000124102.5,0.24033496,Z_2
0.23715936,ENSG00000159713.11,0.23715936,Z_2
0.23342764,ENSG00000115641.19,0.23342764,Z_2
0.23270398,ENSG00000196954.14,0.23270398,Z_2
0.22921534,ENSG00000124762.14,0.22921534,Z_2
0.22680363,ENSG00000137575.12,0.22680363,Z_2
0.22431938,ENSG00000079459.13,0.22431938,Z_2
0.22141333,ENSG00000197324.9,0.22141333,Z_2
0.21864675,ENSG00000106066.15,0.21864675,Z_2
0.21630713,ENSG00000104823.9,0.21630713,Z_2
0.21592511,ENSG00000268621.6,0.21592511,Z_2
0.21564457,ENSG00000166710.21,0.21564457,Z_2
0.21389054,ENSG00000088992.18,0.21389054,Z_2
0.21368936,ENSG00000124098.10,0.21368936,Z_2
0.21351354,ENSG00000117472.10,0.21351354,Z_2
0.20979218,ENSG00000170542.6,0.20979218,Z_2
0.20603068,ENSG00000141295.14,0.20603068,Z_2
0.20500523,ENSG00000123240.17,0.20500523,Z_2
0.20401612,ENSG00000130921.9,0.20401612,Z_2
0.19930314,ENSG00000251095.7,0.19930314,Z_2
0.19870277,ENSG00000109787.13,0.19870277,Z_2
0.19701876,ENSG00000198736.12,0.19701876,Z_2
0.19522889,ENSG00000169248.13,0.19522889,Z_2
0.19175427,ENSG00000119969.15,0.19175427,Z_2
0.19169687,ENSG00000051108.15,0.19169687,Z_2
0.19163336,ENSG00000164056.11,0.19163336,Z_2
0.19148405,ENSG00000163586.10,0.19148405,Z_2
0.18729281,ENSG00000105519.18,0.18729281,Z_2
0.18573788,ENSG00000135926.15,0.18573788,Z_2
