Z_8,gene,abs_loading,factor
0.47869068,ENSG00000112562.19,0.47869068,Z_8
-0.3537705,ENSG00000196352.16,0.3537705,Z_8
-0.3112306,ENSG00000117472.10,0.3112306,Z_8
-0.30480516,ENSG00000141753.7,0.30480516,Z_8
-0.29092383,ENSG00000108244.17,0.29092383,Z_8
-0.27545086,ENSG00000266088.6,0.27545086,Z_8
0.27356204,ENSG00000157456.8,0.27356204,Z_8
-0.26876542,ENSG00000198692.10,0.26876542,Z_8
0.26658535,ENSG00000134905.17,0.26658535,Z_8
-0.26548553,ENSG00000198786.2,0.26548553,Z_8
-0.2646226,ENSG00000166143.10,0.2646226,Z_8
0.25988683,ENSG00000102445.20,0.25988683,Z_8
0.25897574,ENSG00000131153.9,0.25897574,Z_8
0.25776657,ENSG00000204389.10,0.25776657,Z_8
-0.25454417,ENSG00000197930.13,0.25454417,Z_8
0.2538244,ENSG00000172016.16,0.2538244,Z_8
0.25364545,ENSG00000234745.13,0.25364545,Z_8
-0.25121313,ENSG00000168955.4,0.25121313,Z_8
-0.24876705,ENSG00000104765.16,0.24876705,Z_8
-0.24848773,ENSG00000117394.24,0.24848773,Z_8
0.24437036,ENSG00000167747.15,0.24437036,Z_8
0.24368231,ENSG00000211892.4,0.24368231,Z_8
0.24060902,ENSG00000103534.17,0.24060902,Z_8
0.23849393,ENSG00000101353.15,0.23849393,Z_8
0.23774299,ENSG00000115414.21,0.23774299,Z_8
-0.23531863,ENSG00000099194.6,0.23531863,Z_8
0.23433706,ENSG00000273338.1,0.23433706,Z_8
0.23386815,ENSG00000104870.13,0.23386815,Z_8
0.23361664,ENSG00000177685.17,0.23361664,Z_8
0.23163591,ENSG00000117632.23,0.23163591,Z_8
0.22929709,ENSG00000167900.12,0.22929709,Z_8
-0.22832833,ENSG00000086548.9,0.22832833,Z_8
0.22771424,ENSG00000123136.15,0.22771424,Z_8
0.22753638,ENSG00000132792.19,0.22753638,Z_8
-0.22676569,ENSG00000165475.15,0.22676569,Z_8
-0.22611588,ENSG00000030582.18,0.22611588,Z_8
0.22140595,ENSG00000109846.9,0.22140595,Z_8
0.22107737,ENSG00000151490.15,0.22107737,Z_8
0.22029138,ENSG00000100994.12,0.22029138,Z_8
0.21910515,ENSG00000197019.5,0.21910515,Z_8
-0.2189308,ENSG00000211592.8,0.2189308,Z_8
-0.21741162,ENSG00000120708.17,0.21741162,Z_8
0.21041963,ENSG00000251562.8,0.21041963,Z_8
-0.20936254,ENSG00000137767.14,0.20936254,Z_8
0.20916204,ENSG00000019582.16,0.20916204,Z_8
-0.20891733,ENSG00000141741.12,0.20891733,Z_8
0.20847364,ENSG00000101361.17,0.20847364,Z_8
-0.20700502,ENSG00000112818.11,0.20700502,Z_8
-0.20379303,ENSG00000002726.21,0.20379303,Z_8
-0.20235176,ENSG00000134827.8,0.20235176,Z_8
0.20148209,ENSG00000099812.9,0.20148209,Z_8
0.20100604,ENSG00000076003.5,0.20100604,Z_8
-0.20081328,ENSG00000125378.16,0.20081328,Z_8
0.1999894,ENSG00000187608.10,0.1999894,Z_8
0.19682328,ENSG00000133119.13,0.19682328,Z_8
0.19474165,ENSG00000117724.13,0.19474165,Z_8
-0.19344003,ENSG00000196126.11,0.19344003,Z_8
-0.19234712,ENSG00000137563.13,0.19234712,Z_8
-0.19180973,ENSG00000189334.9,0.19180973,Z_8
0.19143702,ENSG00000132424.17,0.19143702,Z_8
-0.1902349,ENSG00000143167.12,0.1902349,Z_8
-0.1886999,ENSG00000086065.14,0.1886999,Z_8
0.1863787,ENSG00000142089.17,0.1863787,Z_8
0.18636636,ENSG00000198938.2,0.18636636,Z_8
0.18625149,ENSG00000243709.1,0.18625149,Z_8
0.18503118,ENSG00000145386.11,0.18503118,Z_8
0.18423039,ENSG00000101057.16,0.18423039,Z_8
0.18226711,ENSG00000166508.18,0.18226711,Z_8
0.18212616,ENSG00000139292.13,0.18212616,Z_8
-0.18147798,ENSG00000184012.14,0.18147798,Z_8
-0.18073522,ENSG00000015413.9,0.18073522,Z_8
0.18073219,ENSG00000101911.13,0.18073219,Z_8
-0.18072024,ENSG00000104419.17,0.18072024,Z_8
-0.18046707,ENSG00000278505.5,0.18046707,Z_8
-0.17974067,ENSG00000145730.21,0.17974067,Z_8
-0.17870027,ENSG00000135919.14,0.17870027,Z_8
0.17847197,ENSG00000222724.1,0.17847197,Z_8
-0.17839965,ENSG00000021355.13,0.17839965,Z_8
0.17654318,ENSG00000005175.10,0.17654318,Z_8
-0.17533989,ENSG00000167920.10,0.17533989,Z_8
0.17457308,ENSG00000157020.18,0.17457308,Z_8
0.17444894,ENSG00000182628.13,0.17444894,Z_8
-0.17416424,ENSG00000224259.7,0.17416424,Z_8
0.17362319,ENSG00000146648.20,0.17362319,Z_8
0.1719464,ENSG00000274213.1,0.1719464,Z_8
0.17129363,ENSG00000173110.8,0.17129363,Z_8
0.17019701,ENSG00000164104.12,0.17019701,Z_8
-0.17010392,ENSG00000145384.4,0.17010392,Z_8
-0.16933185,ENSG00000140941.14,0.16933185,Z_8
-0.1691101,ENSG00000097033.14,0.1691101,Z_8
0.16854076,ENSG00000171848.16,0.16854076,Z_8
0.16845882,ENSG00000110944.9,0.16845882,Z_8
-0.16812256,ENSG00000206069.7,0.16812256,Z_8
-0.16755079,ENSG00000121316.11,0.16755079,Z_8
0.16684571,ENSG00000204574.14,0.16684571,Z_8
-0.16625145,ENSG00000180573.10,0.16625145,Z_8
0.16597201,ENSG00000000419.14,0.16597201,Z_8
0.16544215,ENSG00000158417.11,0.16544215,Z_8
0.16539638,ENSG00000013306.16,0.16539638,Z_8
-0.16454454,ENSG00000148450.13,0.16454454,Z_8
