Z_2,gene,abs_loading,factor
0.45156565,ENSG00000204389.10,0.45156565,Z_2
0.3944727,ENSG00000160180.17,0.3944727,Z_2
-0.34039176,ENSG00000100526.20,0.34039176,Z_2
0.33169794,ENSG00000155850.8,0.33169794,Z_2
-0.31128746,ENSG00000164822.5,0.31128746,Z_2
0.29981804,ENSG00000112818.11,0.29981804,Z_2
-0.29806548,ENSG00000069482.7,0.29806548,Z_2
0.27616525,ENSG00000124102.5,0.27616525,Z_2
0.27063867,ENSG00000162896.6,0.27063867,Z_2
0.26613808,ENSG00000050405.13,0.26613808,Z_2
0.25732964,ENSG00000163586.10,0.25732964,Z_2
0.25572446,ENSG00000101333.18,0.25572446,Z_2
0.25189784,ENSG00000211892.4,0.25189784,Z_2
-0.24374676,ENSG00000122952.17,0.24374676,Z_2
0.24011096,ENSG00000244509.4,0.24011096,Z_2
0.23247352,ENSG00000002726.21,0.23247352,Z_2
-0.22995582,ENSG00000114115.10,0.22995582,Z_2
-0.22764577,ENSG00000214049.8,0.22764577,Z_2
0.22566478,ENSG00000131981.16,0.22566478,Z_2
0.2253256,ENSG00000130164.14,0.2253256,Z_2
0.21699338,ENSG00000019582.16,0.21699338,Z_2
0.21668398,ENSG00000079459.13,0.21668398,Z_2
-0.21543716,ENSG00000138182.15,0.21543716,Z_2
0.21164294,ENSG00000196950.14,0.21164294,Z_2
0.21000317,ENSG00000124253.11,0.21000317,Z_2
-0.20849401,ENSG00000154978.13,0.20849401,Z_2
-0.20770697,ENSG00000084073.10,0.20770697,Z_2
-0.2067715,ENSG00000132434.10,0.2067715,Z_2
0.20562755,ENSG00000162366.8,0.20562755,Z_2
0.20535016,ENSG00000086548.9,0.20535016,Z_2
-0.20459491,ENSG00000061794.13,0.20459491,Z_2
0.20395537,ENSG00000117394.24,0.20395537,Z_2
-0.20336848,ENSG00000125378.16,0.20336848,Z_2
0.20333152,ENSG00000104765.16,0.20333152,Z_2
-0.20271415,ENSG00000167900.12,0.20271415,Z_2
-0.20164219,ENSG00000111247.15,0.20164219,Z_2
0.19874175,ENSG00000245532.9,0.19874175,Z_2
0.19776952,ENSG00000135046.14,0.19776952,Z_2
-0.19692187,ENSG00000126709.16,0.19692187,Z_2
0.19490407,ENSG00000125844.16,0.19490407,Z_2
0.19435842,ENSG00000139116.19,0.19435842,Z_2
0.19420241,ENSG00000173467.9,0.19420241,Z_2
0.19413519,ENSG00000237643.2,0.19413519,Z_2
-0.1940544,ENSG00000143653.10,0.1940544,Z_2
-0.19370504,ENSG00000211897.9,0.19370504,Z_2
0.19291216,ENSG00000224259.7,0.19291216,Z_2
-0.19122508,ENSG00000106628.12,0.19122508,Z_2
0.18764594,ENSG00000109787.13,0.18764594,Z_2
-0.18746038,ENSG00000158417.11,0.18746038,Z_2
-0.18702656,ENSG00000204642.14,0.18702656,Z_2
-0.18467908,ENSG00000111912.20,0.18467908,Z_2
0.18411961,ENSG00000211677.2,0.18411961,Z_2
-0.18401068,ENSG00000100097.12,0.18401068,Z_2
-0.18308103,ENSG00000167797.8,0.18308103,Z_2
-0.17968911,ENSG00000197273.4,0.17968911,Z_2
0.17930505,ENSG00000072274.13,0.17930505,Z_2
-0.17907985,ENSG00000088325.16,0.17907985,Z_2
0.17833713,ENSG00000140279.13,0.17833713,Z_2
0.17658475,ENSG00000143167.12,0.17658475,Z_2
0.176094,ENSG00000182600.9,0.176094,Z_2
-0.17512271,ENSG00000104522.16,0.17512271,Z_2
-0.17300233,ENSG00000102054.18,0.17300233,Z_2
-0.17208947,ENSG00000117632.23,0.17208947,Z_2
0.17197683,ENSG00000122711.9,0.17197683,Z_2
-0.1719555,ENSG00000142089.17,0.1719555,Z_2
-0.17174742,ENSG00000171202.7,0.17174742,Z_2
0.1714868,ENSG00000110911.17,0.1714868,Z_2
-0.17115505,ENSG00000168243.11,0.17115505,Z_2
-0.17063878,ENSG00000165171.11,0.17063878,Z_2
0.16929373,ENSG00000198380.13,0.16929373,Z_2
-0.1691107,ENSG00000171456.20,0.1691107,Z_2
-0.16796483,ENSG00000164816.8,0.16796483,Z_2
0.16714643,ENSG00000135926.15,0.16714643,Z_2
-0.16709386,ENSG00000100453.13,0.16709386,Z_2
0.16539165,ENSG00000170231.16,0.16539165,Z_2
-0.16513912,ENSG00000101057.16,0.16513912,Z_2
-0.16481766,ENSG00000101353.15,0.16481766,Z_2
0.16421667,ENSG00000132465.12,0.16421667,Z_2
0.16399992,ENSG00000131724.11,0.16399992,Z_2
0.16381833,ENSG00000079385.23,0.16381833,Z_2
0.16369963,ENSG00000127324.9,0.16369963,Z_2
0.16259734,ENSG00000148180.21,0.16259734,Z_2
0.16146412,ENSG00000148346.12,0.16146412,Z_2
-0.16065043,ENSG00000132780.17,0.16065043,Z_2
-0.16017,ENSG00000139292.13,0.16017,Z_2
-0.15740457,ENSG00000164104.12,0.15740457,Z_2
-0.15712771,ENSG00000130720.13,0.15712771,Z_2
0.15708226,ENSG00000211592.8,0.15708226,Z_2
0.15677235,ENSG00000149418.11,0.15677235,Z_2
0.15650253,ENSG00000115828.17,0.15650253,Z_2
-0.15640184,ENSG00000149100.13,0.15640184,Z_2
0.15624687,ENSG00000065485.20,0.15624687,Z_2
