Z_18,gene,abs_loading,factor
0.32196406,ENSG00000077152.11,0.32196406,Z_18
0.30900553,ENSG00000101444.13,0.30900553,Z_18
0.29407156,ENSG00000144485.11,0.29407156,Z_18
0.28760496,ENSG00000164266.11,0.28760496,Z_18
0.28583494,ENSG00000114315.4,0.28583494,Z_18
0.27110398,ENSG00000114346.14,0.27110398,Z_18
0.26204166,ENSG00000148346.12,0.26204166,Z_18
0.2456198,ENSG00000224057.1,0.2456198,Z_18
0.24487507,ENSG00000075218.19,0.24487507,Z_18
0.24391669,ENSG00000175063.17,0.24391669,Z_18
0.2427476,ENSG00000079459.13,0.2427476,Z_18
0.23525374,ENSG00000214160.10,0.23525374,Z_18
0.23251253,ENSG00000096401.8,0.23251253,Z_18
0.22936836,ENSG00000029993.15,0.22936836,Z_18
0.22348252,ENSG00000160888.7,0.22348252,Z_18
0.22230034,ENSG00000130726.12,0.22230034,Z_18
0.22005661,ENSG00000151500.15,0.22005661,Z_18
0.21809989,ENSG00000123136.15,0.21809989,Z_18
0.2164154,ENSG00000019582.16,0.2164154,Z_18
0.2154485,ENSG00000099901.17,0.2154485,Z_18
0.21402179,ENSG00000122711.9,0.21402179,Z_18
0.21083458,ENSG00000104870.13,0.21083458,Z_18
0.21022063,ENSG00000179674.4,0.21022063,Z_18
0.2054259,ENSG00000152795.18,0.2054259,Z_18
0.20514402,ENSG00000119326.15,0.20514402,Z_18
0.20230971,ENSG00000164104.12,0.20230971,Z_18
0.2015883,ENSG00000120693.14,0.2015883,Z_18
0.20015064,ENSG00000102445.20,0.20015064,Z_18
0.19956462,ENSG00000127324.9,0.19956462,Z_18
0.19652438,ENSG00000164032.12,0.19652438,Z_18
0.19516909,ENSG00000185101.13,0.19516909,Z_18
0.19267032,ENSG00000167325.15,0.19267032,Z_18
0.1919976,ENSG00000007306.15,0.1919976,Z_18
0.19166061,ENSG00000123505.19,0.19166061,Z_18
0.1873152,ENSG00000158050.5,0.1873152,Z_18
0.18703541,ENSG00000171456.20,0.18703541,Z_18
0.18515876,ENSG00000111196.10,0.18515876,Z_18
0.18473144,ENSG00000211896.7,0.18473144,Z_18
0.18291877,ENSG00000132434.10,0.18291877,Z_18
0.18039714,ENSG00000112312.10,0.18039714,Z_18
0.17840332,ENSG00000173334.4,0.17840332,Z_18
0.17813632,ENSG00000134779.15,0.17813632,Z_18
0.17681377,ENSG00000197157.11,0.17681377,Z_18
0.17556359,ENSG00000108848.16,0.17556359,Z_18
0.17449898,ENSG00000137807.16,0.17449898,Z_18
0.17444198,ENSG00000108551.5,0.17444198,Z_18
0.17296068,ENSG00000144354.14,0.17296068,Z_18
0.17281356,ENSG00000131797.12,0.17281356,Z_18
0.17276256,ENSG00000189325.7,0.17276256,Z_18
0.17143033,ENSG00000178999.13,0.17143033,Z_18
