Z_5,gene,abs_loading,factor
-0.34896305,ENSG00000182600.9,0.34896305,Z_5
-0.3173493,ENSG00000251562.8,0.3173493,Z_5
-0.31340346,ENSG00000100097.12,0.31340346,Z_5
-0.28282082,ENSG00000211892.4,0.28282082,Z_5
-0.2801437,ENSG00000141753.7,0.2801437,Z_5
-0.26398948,ENSG00000112562.19,0.26398948,Z_5
-0.24639618,ENSG00000111832.13,0.24639618,Z_5
0.24198513,ENSG00000085231.14,0.24198513,Z_5
-0.23970218,ENSG00000015413.9,0.23970218,Z_5
-0.23781042,ENSG00000160180.17,0.23781042,Z_5
0.234418,ENSG00000167325.15,0.234418,Z_5
0.23149672,ENSG00000137563.13,0.23149672,Z_5
-0.23122346,ENSG00000185187.13,0.23122346,Z_5
-0.22628587,ENSG00000115386.6,0.22628587,Z_5
0.2188123,ENSG00000077152.11,0.2188123,Z_5
-0.21793999,ENSG00000204389.10,0.21793999,Z_5
-0.21698172,ENSG00000171792.11,0.21698172,Z_5
0.214581,ENSG00000131236.18,0.214581,Z_5
0.21223158,ENSG00000198959.12,0.21223158,Z_5
0.21206722,ENSG00000157456.8,0.21206722,Z_5
0.21191373,ENSG00000143878.10,0.21191373,Z_5
0.20878702,ENSG00000179674.4,0.20878702,Z_5
0.20788255,ENSG00000057294.16,0.20788255,Z_5
-0.20527317,ENSG00000171202.7,0.20527317,Z_5
-0.20399338,ENSG00000148346.12,0.20399338,Z_5
-0.2039158,ENSG00000123200.17,0.2039158,Z_5
-0.20334326,ENSG00000113810.16,0.20334326,Z_5
-0.20178784,ENSG00000166920.13,0.20178784,Z_5
-0.20127903,ENSG00000137752.24,0.20127903,Z_5
0.19929622,ENSG00000111196.10,0.19929622,Z_5
-0.19864176,ENSG00000188761.13,0.19864176,Z_5
0.19612132,ENSG00000241224.8,0.19612132,Z_5
-0.19600768,ENSG00000167920.10,0.19600768,Z_5
0.19091488,ENSG00000171345.13,0.19091488,Z_5
0.19053268,ENSG00000059728.11,0.19053268,Z_5
0.18835343,ENSG00000065154.12,0.18835343,Z_5
-0.18790165,ENSG00000103534.17,0.18790165,Z_5
-0.18399204,ENSG00000001626.16,0.18399204,Z_5
-0.1826618,ENSG00000141738.14,0.1826618,Z_5
